"company_id","company_name","job_family","position_count"
15324,"GOOGLE","SOFTWARE ENGINEER",72357
15324,"GOOGLE","NETWORK ENGINEER",4590
15324,"GOOGLE","BI & DATA ANALYST",3359
15324,"GOOGLE","DATA SCIENTIST",3199
15324,"GOOGLE","HARDWARE ENGINEER",1938
54445,"META PLATFORMS, INC.","SOFTWARE ENGINEER",14845
54445,"META PLATFORMS, INC.","DATA SCIENTIST",2692
54445,"META PLATFORMS, INC.","SOFTWARE ENGINEERING MANAGER",1221
54445,"META PLATFORMS, INC.","POSTDOCTORAL ASSOCIATE",1170
54445,"META PLATFORMS, INC.","DATA ENGINEER",1167
56589,"TESLA","SOFTWARE ENGINEER",2050
56589,"TESLA","MANUFACTURING ENGINEER",916
56589,"TESLA","PROJECT MANAGER",772
56589,"TESLA","INDUSTRIAL ENGINEER",742
56589,"TESLA","MECHANICAL ENGINEER",680
77375,"APPLE","SOFTWARE ENGINEER",40831
77375,"APPLE","ELECTRONICS ENGINEER",19763
77375,"APPLE","SOFTWARE ENGINEERING MANAGER",6637
77375,"APPLE","DATA SCIENTIST",6049
77375,"APPLE","MECHANICAL ENGINEER",5185
78788,"NVIDIA","ELECTRONICS ENGINEER",32045
78788,"NVIDIA","SOFTWARE ENGINEER",31879
78788,"NVIDIA","SOFTWARE ENGINEERING MANAGER",3323
78788,"NVIDIA","SALES ENGINEER",2772
210552,"AMAZON","SOFTWARE ENGINEER",243200
210552,"AMAZON","DATA SCIENTIST",71673
210552,"AMAZON","BI & DATA ANALYST",37029
210552,"AMAZON","SOFTWARE ENGINEERING MANAGER",25207
210552,"AMAZON","LOGISTICS SPECIALIST",21665
301499,"MICROSOFT","SOFTWARE ENGINEER",69593
301499,"MICROSOFT","PROJECT MANAGER",7077
301499,"MICROSOFT","DATA SCIENTIST",6308
301499,"MICROSOFT","HARDWARE ENGINEER",2597
301499,"MICROSOFT","BUSINESS ANALYST",2040
